ROI number, volume, center of mass,Dosenbach,AAL,Eickhoff-Zilles,Talairach-Tournoux,Harvard-Oxford
11, 140, (0.7;-51.3;19.3),["None": 0.73]["post cingulate": 0.13],["Precuneus_L": 0.36]["Precuneus_R": 0.32]["Cingulum_Post_L": 0.18],["Left Precuneus": 0.42]["Right Precuneus": 0.29]["Right Calcarine Gyrus": 0.11],["Left Posterior Cingulate": 0.53]["Right Posterior Cingulate": 0.45],["Right Cingulate Gyrus; posterior division": 0.38]["Right Precuneous Cortex": 0.29]["Left Cingulate Gyrus; posterior division": 0.19]["Left Precuneous Cortex": 0.14]
12, 99, (29.2;-4.4;-22.1),["None": 1.00],["Amygdala_R": 0.38]["Hippocampus_R": 0.36]["ParaHippocampal_R": 0.22],["Right Amygdala": 0.45]["Right ParaHippocampal Gyrus": 0.34]["Right Hippocampus": 0.11],["Right Parahippocampal Gyrus": 0.58]["Right Uncus": 0.41],["Right Amygdala": 0.55]["Right Hippocampus": 0.29]
13, 126, (-37.6;-76.1;-24.7),["None": 1.00],["Cerebelum_Crus1_L": 0.88],["Left Cerebellum": 0.90],["Left Tuber": 0.43]["Left Uvula": 0.20]["Left Declive": 0.17],["None": 0.83]
14, 49, (-12.7;2.8;16.7),["None": 0.90],["Caudate_L": 0.98],["Left Caudate Nucleus": 0.94],["Left Caudate": 0.94],["Left Caudate": 0.96]
15, 117, (45.6;20.2;38.8),["None": 0.83]["dFC": 0.15],["Frontal_Mid_R": 0.75]["Frontal_Inf_Oper_R": 0.25],["Right Middle Frontal Gyrus": 0.58]["Right Inferior Frontal Gyrus (p. Opercularis)": 0.34],["Right Middle Frontal Gyrus": 0.77]["Right Precentral Gyrus": 0.23],["Right Middle Frontal Gyrus": 1.00]
16, 79, (39.0;3.3;56.9),["None": 1.00],["Frontal_Mid_R": 0.80]["Precentral_R": 0.13],["Right Middle Frontal Gyrus": 0.81]["RightPrecentral Gyrus": 0.11],["Right Middle Frontal Gyrus": 0.90],["Right Middle Frontal Gyrus": 0.85]["Right Precentral Gyrus": 0.15]
17, 73, (40.6;-62.7;-34.9),["None": 0.96],["Cerebelum_Crus1_R": 0.89]["Cerebelum_Crus2_R": 0.11],["Right Cerebellum": 0.47]["Right Cerebellum": 0.47],["Right Cerebellar Tonsil": 0.49]["Right Inferior Semi-Lunar Lobule": 0.45],["None": 1.00]
18, 96, (-19.8;-69.3;-25.9),["None": 0.90],["Cerebelum_6_L": 0.60]["Cerebelum_Crus1_L": 0.40],["Left Cerebellum": 0.59]["Left Cerebellum": 0.32],["Left Uvula": 0.36]["Left Pyramis": 0.30]["Left Inferior Semi-Lunar Lobule": 0.11],["None": 1.00]
19, 87, (-43.3;16.1;-22.4),["None": 1.00],["Temporal_Pole_Sup_L": 0.80]["Temporal_Pole_Mid_L": 0.20],["Left Temporal Pole": 0.74]["Left Medial Temporal Pole": 0.26],["Left Superior Temporal Gyrus": 0.97],["Left Temporal Pole": 0.92]
20, 105, (-6.7;-17.7;44.1),["None": 1.00],["Cingulum_Mid_L": 0.79]["Supp_Motor_Area_L": 0.21],["Left Middle Cingulate Cortex": 0.90],["Left Cingulate Gyrus": 0.50]["Left Medial Frontal Gyrus": 0.24]["Left Paracentral Lobule": 0.18],["Left Cingulate Gyrus; posterior division": 0.42]["Left Precentral Gyrus": 0.32]["Left Cingulate Gyrus; anterior division": 0.11]
21, 94, (-6.8;-11.6;10.9),["None": 0.85]["thalamus": 0.12],["Thalamus_L": 0.91],["Left Thalamus": 0.91],["Left Thalamus": 0.95],["Left Thalamus": 1.00]
22, 94, (41.9;-8.9;14.9),["None": 0.88],["Rolandic_Oper_R": 0.55]["Insula_R": 0.40],["Right Insula Lobe": 0.54]["Right Rolandic Operculum": 0.38],["Right Insula": 0.84]["Right Precentral Gyrus": 0.11],["Right Central Opercular Cortex": 0.57]["Right Insular Cortex": 0.43]
23, 108, (59.8;-5.2;29.0),["None": 0.93],["Postcentral_R": 0.85]["Precentral_R": 0.15],["Right Postcentral Gyrus": 0.79]["RightPrecentral Gyrus": 0.17],["Right Precentral Gyrus": 0.93],["Right Precentral Gyrus": 0.51]["Right Postcentral Gyrus": 0.49]
24, 155, (-15.2;-91.6;-14.1),["None": 1.00],["Lingual_L": 0.43]["Cerebelum_Crus1_L": 0.28]["Calcarine_L": 0.14],["Left Lingual Gyrus": 0.54]["Left Cerebellum": 0.28],["Left Lingual Gyrus": 0.46]["Left Fusiform Gyrus": 0.16]["Left Uvula": 0.15],["Left Occipital Pole": 0.40]["Left Occipital Fusiform Gyrus": 0.38]["Left Lingual Gyrus": 0.12]
25, 79, (-27.5;32.8;-15.9),["None": 1.00],["Frontal_Inf_Orb_L": 0.59]["Frontal_Mid_Orb_L": 0.38],["Left Inferior Frontal Gyrus (p. Orbitalis)": 0.46]["Left Middle Orbital Gyrus": 0.37]["None": 0.15],["Left Middle Frontal Gyrus": 0.46]["Left Inferior Frontal Gyrus": 0.41],["Left Frontal Orbital Cortex": 0.84]["Left Frontal Pole": 0.16]
26, 112, (51.8;-65.6;19.0),["None": 1.00],["Temporal_Mid_R": 0.74]["Angular_R": 0.14]["Occipital_Mid_R": 0.12],["Right Middle Temporal Gyrus": 0.97],["Right Middle Temporal Gyrus": 0.94],["Right Lateral Occipital Cortex; superior division": 0.67]["Right Lateral Occipital Cortex; inferior division": 0.33]
27, 103, (-0.3;-53.7;-23.7),["None": 0.99],["Vermis_4_5": 0.26]["Vermis_6": 0.16]["Vermis_10": 0.14]["Cerebelum_4_5_L": 0.12],["Cerebellar Vermis": 0.26]["Cerebellar Vermis": 0.17]["Cerebellar Vermis": 0.16]["Cerebellar Vermis": 0.11],["Right Nodule": 0.36]["Left Nodule": 0.29]["Right Culmen": 0.20],["None": 1.00]
28, 125, (-8.4;-16.1;71.9),["None": 1.00],["Paracentral_Lobule_L": 0.56]["Supp_Motor_Area_L": 0.37],["Left Paracentral Lobule": 0.72]["Left SMA": 0.22],["None": 0.63]["Left Medial Frontal Gyrus": 0.23],["Left Precentral Gyrus": 0.71]["Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)": 0.15]["Left Superior Frontal Gyrus": 0.13]
29, 94, (7.9;32.8;27.5),["None": 0.91],["Cingulum_Ant_R": 0.83]["Cingulum_Mid_R": 0.15],["Right Anterior Cingulate Cortex": 0.83]["Right Middle Cingulate Cortex": 0.16],["Right Anterior Cingulate": 0.48]["Right Medial Frontal Gyrus": 0.35]["Right Cingulate Gyrus": 0.17],["Right Paracingulate Gyrus": 0.55]["Right Cingulate Gyrus; anterior division": 0.45]
30, 125, (-44.8;-57.9;19.7),["None": 0.97],["Temporal_Mid_L": 0.70]["Angular_L": 0.29],["Left Middle Temporal Gyrus": 0.94],["Left Middle Temporal Gyrus": 0.54]["Left Superior Temporal Gyrus": 0.43],["Left Angular Gyrus": 0.51]["Left Middle Temporal Gyrus; temporooccipital part": 0.22]["Left Lateral Occipital Cortex; superior division": 0.18]
31, 60, (39.6;45.6;-11.8),["None": 0.85],["Frontal_Mid_Orb_R": 0.68]["Frontal_Inf_Orb_R": 0.32],["Right Middle Orbital Gyrus": 0.67]["Right Inferior Frontal Gyrus (p. Orbitalis)": 0.33],["Right Middle Frontal Gyrus": 0.90],["Right Frontal Pole": 1.00]
32, 109, (-40.5;7.3;30.7),["None": 0.86]["dFC": 0.14],["Frontal_Inf_Oper_L": 0.43]["Precentral_L": 0.35]["Frontal_Mid_L": 0.12],["Left Inferior Frontal Gyrus (p. Opercularis)": 0.44]["Left Precentral Gyrus": 0.26]["Left Middle Frontal Gyrus": 0.16]["Left Inferior Frontal Gyrus (p. Triangularis)": 0.15],["Left Inferior Frontal Gyrus": 0.50]["Left Middle Frontal Gyrus": 0.34]["Left Precentral Gyrus": 0.16],["Left Middle Frontal Gyrus": 0.39]["Left Precentral Gyrus": 0.32]["Left Inferior Frontal Gyrus; pars opercularis": 0.27]
34, 103, (52.1;3.3;-29.9),["None": 1.00],["Temporal_Inf_R": 0.38]["Temporal_Mid_R": 0.34]["Temporal_Pole_Mid_R": 0.28],["Right Inferior Temporal Gyrus": 0.47]["Right Medial Temporal Pole": 0.38]["Right Middle Temporal Gyrus": 0.16],["Right Middle Temporal Gyrus": 0.75]["Right Inferior Temporal Gyrus": 0.15],["Right Temporal Pole": 0.52]["Right Middle Temporal Gyrus; anterior division": 0.43]
35, 147, (-38.0;-29.4;56.3),["None": 0.83]["parietal": 0.12],["Postcentral_L": 0.78]["Precentral_L": 0.21],["Left Postcentral Gyrus": 0.82]["Left Precentral Gyrus": 0.12],["Left Postcentral Gyrus": 0.66]["Left Precentral Gyrus": 0.27],["Left Postcentral Gyrus": 0.88]["Left Precentral Gyrus": 0.12]
36, 59, (-58.0;-20.4;-11.2),["None": 0.78]["inf temporal": 0.22],["Temporal_Mid_L": 1.00],["Left Middle Temporal Gyrus": 0.90],["Left Middle Temporal Gyrus": 0.75]["Left Inferior Temporal Gyrus": 0.25],["Left Middle Temporal Gyrus; posterior division": 0.90]
37, 134, (15.6;-68.3;29.8),["None": 0.88],["Cuneus_R": 0.49]["Precuneus_R": 0.48],["Right Cuneus": 0.59]["Right Precuneus": 0.36],["Right Precuneus": 0.78]["Right Cuneus": 0.22],["Right Precuneous Cortex": 0.62]["Right Cuneal Cortex": 0.37]
38, 152, (0.3;28.2;-8.8),["None": 1.00],["Frontal_Med_Orb_R": 0.21]["Cingulum_Ant_L": 0.19]["Frontal_Med_Orb_L": 0.14]["Cingulum_Ant_R": 0.13]["Olfactory_L": 0.11]["Olfactory_R": 0.11],["Right Mid Orbital Gyrus": 0.28]["Left Mid Orbital Gyrus": 0.21]["Left Rectal Gyrus": 0.16]["Left Anterior Cingulate Cortex": 0.13],["Left Medial Frontal Gyrus": 0.26]["Right Medial Frontal Gyrus": 0.22]["Right Anterior Cingulate": 0.20]["Left Anterior Cingulate": 0.17]["Right Subcallosal Gyrus": 0.11],["Right Subcallosal Cortex": 0.45]["Left Subcallosal Cortex": 0.19]["Right Cingulate Gyrus; anterior division": 0.13]["Left Paracingulate Gyrus": 0.11]
39, 114, (-32.4;10.9;-7.3),["None": 1.00],["Insula_L": 0.83]["Putamen_L": 0.15],["Left Insula Lobe": 0.78]["Left Inferior Frontal Gyrus (p. Orbitalis)": 0.18],["Left Inferior Frontal Gyrus": 0.46]["Left Insula": 0.30],["Left Insular Cortex": 0.75]["Left Frontal Orbital Cortex": 0.16]
40, 106, (42.2;-16.8;45.0),["None": 0.68]["parietal": 0.15]["precentral gyrus": 0.14],["Precentral_R": 0.69]["Postcentral_R": 0.31],["Right Postcentral Gyrus": 0.52]["RightPrecentral Gyrus": 0.48],["Right Precentral Gyrus": 0.73]["Right Postcentral Gyrus": 0.27],["Right Precentral Gyrus": 0.57]["Right Postcentral Gyrus": 0.43]
41, 99, (-30.0;-40.0;-32.5),["None": 0.97],["Cerebelum_6_L": 0.60]["Cerebelum_4_5_L": 0.22],["Left Cerebellum": 0.51]["Left Cerebellum": 0.21]["Left Cerebellum": 0.11],["Left Cerebellar Tonsil": 0.78]["Left Culmen": 0.22],["None": 0.74]["Left Temporal Fusiform Cortex; posterior division": 0.26]
42, 88, (-28.6;-4.1;6.1),["None": 1.00],["Putamen_L": 0.76]["Insula_L": 0.18],["Left Putamen": 0.77]["Left Insula Lobe": 0.22],["Left Lentiform Nucleus": 0.65]["Left Claustrum": 0.28],["Left Putamen": 0.88]
43, 96, (-24.2;-96.1;6.2),["None": 0.93],["Occipital_Mid_L": 1.00],["Left Middle Occipital Gyrus": 1.00],["Left Middle Occipital Gyrus": 0.56]["Left Cuneus": 0.44],["Left Occipital Pole": 0.90]
44, 37, (25.2;46.1;-13.9),["None": 1.00],["Frontal_Mid_Orb_R": 0.57]["Frontal_Sup_Orb_R": 0.43],["Right Middle Orbital Gyrus": 0.86]["Right Superior Orbital Gyrus": 0.14],["Right Superior Frontal Gyrus": 0.73]["Right Middle Frontal Gyrus": 0.27],["Right Frontal Pole": 1.00]
45, 70, (-31.1;-6.9;-33.9),["None": 1.00],["Fusiform_L": 0.66]["Temporal_Inf_L": 0.21]["ParaHippocampal_L": 0.13],["Left Inferior Temporal Gyrus": 0.57]["Left Fusiform Gyrus": 0.39],["Left Uncus": 0.51]["Left Inferior Temporal Gyrus": 0.46],["Left Temporal Fusiform Cortex; anterior division": 0.53]["Left Parahippocampal Gyrus; anterior division": 0.37]
46, 98, (38.9;-22.3;14.9),["None": 0.81]["post insula": 0.17],["Heschl_R": 0.41]["Insula_R": 0.37]["Rolandic_Oper_R": 0.20],["Right Insula Lobe": 0.41]["Right Heschls Gyrus": 0.28]["Right Superior Temporal Gyrus": 0.21],["Right Insula": 0.74]["Right Transverse Temporal Gyrus": 0.18],["Right Insular Cortex": 0.34]["Right Parietal Operculum Cortex": 0.20]["Right Planum Temporale": 0.20]["Right Heschl's Gyrus (includes H1 and H2)": 0.19]
47, 76, (1.1;6.4;31.8),["None": 1.00],["Cingulum_Mid_L": 0.32]["Cingulum_Mid_R": 0.26]["Cingulum_Ant_L": 0.20]["Cingulum_Ant_R": 0.18],["Left Anterior Cingulate Cortex": 0.33]["Right Middle Cingulate Cortex": 0.26]["Right Anterior Cingulate Cortex": 0.18]["Left Middle Cingulate Cortex": 0.18],["Left Cingulate Gyrus": 0.45]["Right Cingulate Gyrus": 0.39],["Right Cingulate Gyrus; anterior division": 0.72]["Left Cingulate Gyrus; anterior division": 0.26]
48, 82, (58.6;-22.8;-20.6),["None": 0.87]["fusiform": 0.13],["Temporal_Inf_R": 0.85]["Temporal_Mid_R": 0.15],["Right Inferior Temporal Gyrus": 1.00],["Right Inferior Temporal Gyrus": 0.61]["Right Fusiform Gyrus": 0.34],["Right Inferior Temporal Gyrus; posterior division": 0.60]["Right Middle Temporal Gyrus; posterior division": 0.40]
49, 116, (-53.0;-27.4;44.1),["None": 0.91],["Parietal_Inf_L": 0.59]["SupraMarginal_L": 0.22]["Postcentral_L": 0.19],["Left Inferior Parietal Lobule ": 0.51]["Left SupraMarginal Gyrus": 0.45],["Left Postcentral Gyrus": 0.76]["Left Inferior Parietal Lobule": 0.24],["Left Postcentral Gyrus": 0.57]["Left Supramarginal Gyrus; anterior division": 0.43]
50, 69, (-0.9;-20.4;-12.3),["None": 1.00],["None": 1.00],["None": 0.97],["None": 1.00],["None": 1.00]
51, 142, (-9.0;-66.1;56.5),["None": 1.00],["Precuneus_L": 0.82]["Parietal_Sup_L": 0.18],["Left Precuneus": 0.74]["Left Superior Parietal Lobule ": 0.26],["Left Precuneus": 0.65]["Left Superior Parietal Lobule": 0.19]["None": 0.15],["Left Precuneous Cortex": 0.52]["Left Lateral Occipital Cortex; superior division": 0.46]
52, 127, (52.9;-36.9;4.9),["None": 0.86]["temporal": 0.14],["Temporal_Mid_R": 0.59]["Temporal_Sup_R": 0.41],["Right Middle Temporal Gyrus": 0.82]["Right Superior Temporal Gyrus": 0.18],["Right Middle Temporal Gyrus": 0.61]["Right Superior Temporal Gyrus": 0.39],["Right Superior Temporal Gyrus; posterior division": 0.35]["Right Middle Temporal Gyrus; temporooccipital part": 0.34]["Right Supramarginal Gyrus; posterior division": 0.16]
53, 141, (-1.3;47.3;31.7),["None": 0.88]["mPFC": 0.12],["Frontal_Sup_Medial_L": 0.68]["Frontal_Sup_Medial_R": 0.23],["Left Superior Medial Gyrus": 0.70]["Right Superior Medial Gyrus": 0.21],["Left Medial Frontal Gyrus": 0.45]["Right Medial Frontal Gyrus": 0.26]["Left Superior Frontal Gyrus": 0.23],["Right Superior Frontal Gyrus": 0.26]["Right Paracingulate Gyrus": 0.26]["Left Superior Frontal Gyrus": 0.20]["Left Paracingulate Gyrus": 0.18]
54, 94, (3.7;-28.4;72.2),["None": 1.00],["Paracentral_Lobule_R": 0.71]["Paracentral_Lobule_L": 0.24],["Right Paracentral Lobule": 0.76]["Left Paracentral Lobule": 0.22],["None": 0.65]["Right Paracentral Lobule": 0.20],["Right Precentral Gyrus": 0.78]["Left Precentral Gyrus": 0.14]
55, 96, (29.6;-38.1;-32.8),["None": 1.00],["Cerebelum_6_R": 0.47]["Cerebelum_4_5_R": 0.31]["Cerebelum_10_R": 0.13],["Right Cerebellum": 0.41]["Right Cerebellum": 0.38]["Right Cerebellum": 0.13],["Right Cerebellar Tonsil": 0.79]["Right Culmen": 0.13],["None": 0.90]
56, 114, (54.1;6.5;34.8),["None": 0.82]["dFC": 0.11],["Precentral_R": 0.77]["Frontal_Inf_Oper_R": 0.20],["RightPrecentral Gyrus": 0.62]["Right Inferior Frontal Gyrus (p. Opercularis)": 0.33],["Right Inferior Frontal Gyrus": 0.38]["Right Middle Frontal Gyrus": 0.37]["Right Precentral Gyrus": 0.25],["Right Precentral Gyrus": 0.89]
57, 116, (-62.8;-36.4;-6.2),["None": 0.88]["inf temporal": 0.12],["Temporal_Mid_L": 1.00],["Left Middle Temporal Gyrus": 0.99],["Left Middle Temporal Gyrus": 0.99],["Left Middle Temporal Gyrus; posterior division": 0.90]
58, 194, (-12.4;-67.7;23.0),["None": 0.90],["Cuneus_L": 0.46]["Calcarine_L": 0.31]["Occipital_Sup_L": 0.13],["Left Calcarine Gyrus": 0.39]["Left Cuneus": 0.37]["Left Superior Occipital Gyrus": 0.21],["Left Precuneus": 0.46]["Left Cuneus": 0.30]["Left Posterior Cingulate": 0.23],["Left Precuneous Cortex": 0.63]["Left Cuneal Cortex": 0.20]["Left Intracalcarine Cortex": 0.11]
59, 113, (-9.1;29.5;55.7),["None": 0.87]["sup frontal": 0.13],["Frontal_Sup_Medial_L": 0.42]["Frontal_Sup_L": 0.36]["Supp_Motor_Area_L": 0.21],["Left Superior Medial Gyrus": 0.50]["Left Superior Frontal Gyrus": 0.35]["Left SMA": 0.14],["Left Superior Frontal Gyrus": 0.88]["None": 0.12],["Left Superior Frontal Gyrus": 0.96]
60, 108, (7.6;44.7;16.1),["None": 0.78]["vmPFC": 0.11]["ACC": 0.11],["Cingulum_Ant_R": 0.94],["Right Anterior Cingulate Cortex": 0.89]["Right Superior Medial Gyrus": 0.11],["Right Medial Frontal Gyrus": 0.71]["Right Anterior Cingulate": 0.29],["Right Paracingulate Gyrus": 0.70]["Right Cingulate Gyrus; anterior division": 0.30]
61, 126, (14.4;-55.7;65.2),["None": 1.00],["Parietal_Sup_R": 0.56]["Precuneus_R": 0.41],["Right Superior Parietal Lobule ": 0.57]["Right Precuneus": 0.41],["Right Superior Parietal Lobule": 0.33]["Right Precuneus": 0.27]["Right Postcentral Gyrus": 0.22]["None": 0.18],["Right Superior Parietal Lobule": 0.51]["Right Precuneous Cortex": 0.26]["Right Lateral Occipital Cortex; superior division": 0.23]
62, 116, (32.0;-88.7;-8.8),["None": 0.97],["Occipital_Inf_R": 0.81]["Lingual_R": 0.12],["Right Inferior Occipital Gyrus": 0.61]["Right Lingual Gyrus": 0.34],["Right Inferior Occipital Gyrus": 0.72]["Right Fusiform Gyrus": 0.21],["Right Lateral Occipital Cortex; inferior division": 0.43]["Right Occipital Fusiform Gyrus": 0.34]["Right Occipital Pole": 0.23]
63, 94, (18.9;-96.3;-4.0),["None": 1.00],["Lingual_R": 0.49]["Calcarine_R": 0.39],["Right Lingual Gyrus": 0.65]["Right Calcarine Gyrus": 0.30],["Right Lingual Gyrus": 0.63]["Right Cuneus": 0.23],["Right Occipital Pole": 0.94]
64, 124, (53.8;16.5;10.3),["None": 0.84],["Frontal_Inf_Oper_R": 0.65]["Frontal_Inf_Tri_R": 0.34],["Right Inferior Frontal Gyrus (p. Opercularis)": 0.48]["Right Inferior Frontal Gyrus (p. Triangularis)": 0.42],["Right Inferior Frontal Gyrus": 0.76]["Right Precentral Gyrus": 0.21],["Right Inferior Frontal Gyrus; pars opercularis": 0.77]["Right Inferior Frontal Gyrus; pars triangularis": 0.13]
65, 122, (-56.9;-25.3;18.3),["None": 0.81]["precentral gyrus": 0.14],["Temporal_Sup_L": 0.50]["SupraMarginal_L": 0.30]["Postcentral_L": 0.20],["Left Superior Temporal Gyrus": 0.59]["Left SupraMarginal Gyrus": 0.23]["Left Postcentral Gyrus": 0.18],["Left Superior Temporal Gyrus": 0.41]["Left Postcentral Gyrus": 0.36]["Left Inferior Parietal Lobule": 0.13],["Left Planum Temporale": 0.31]["Left Parietal Operculum Cortex": 0.26]["Left Central Opercular Cortex": 0.22]["Left Supramarginal Gyrus; anterior division": 0.11]
66, 103, (-63.3;-39.8;9.2),["None": 0.89],["Temporal_Mid_L": 0.58]["Temporal_Sup_L": 0.42],["Left Middle Temporal Gyrus": 0.71]["Left Superior Temporal Gyrus": 0.25],["Left Superior Temporal Gyrus": 0.63]["Left Middle Temporal Gyrus": 0.37],["Left Superior Temporal Gyrus; posterior division": 0.58]["Left Middle Temporal Gyrus; temporooccipital part": 0.14]["Left Middle Temporal Gyrus; posterior division": 0.11]
67, 85, (14.5;18.6;2.7),["None": 1.00],["Caudate_R": 0.94],["Right Caudate Nucleus": 0.91],["Right Caudate": 0.80]["Right Lentiform Nucleus": 0.14],["Right Caudate": 0.91]
68, 121, (62.2;-23.3;29.4),["None": 1.00],["SupraMarginal_R": 0.92],["Right SupraMarginal Gyrus": 0.77]["Right Superior Temporal Gyrus": 0.15],["Right Inferior Parietal Lobule": 0.55]["Right Postcentral Gyrus": 0.45],["Right Supramarginal Gyrus; anterior division": 0.69]["Right Postcentral Gyrus": 0.23]
69, 99, (64.6;-14.9;-11.6),["None": 1.00],["Temporal_Mid_R": 0.85]["Temporal_Sup_R": 0.15],["Right Middle Temporal Gyrus": 0.85],["Right Middle Temporal Gyrus": 0.68]["Right Inferior Temporal Gyrus": 0.26],["Right Middle Temporal Gyrus; posterior division": 0.90]
70, 136, (28.3;-74.8;-13.8),["None": 0.98],["Fusiform_R": 0.57]["Cerebelum_6_R": 0.32],["Right Fusiform Gyrus": 0.40]["Right Cerebellum": 0.36]["Right Cerebellum": 0.20],["Right Declive": 0.50]["Right Fusiform Gyrus": 0.21]["Right Uvula": 0.16],["Right Occipital Fusiform Gyrus": 0.83]["None": 0.16]
71, 93, (4.3;-17.3;-2.6),["None": 0.96],["Thalamus_R": 0.51]["None": 0.32]["Thalamus_L": 0.17],["None": 0.60]["Right Thalamus": 0.30],["None": 0.62]["Right Thalamus": 0.32],["Right Thalamus": 0.51]["None": 0.30]["Left Thalamus": 0.19]
72, 96, (-28.3;-6.5;53.2),["None": 0.80]["parietal": 0.20],["Precentral_L": 0.69]["Frontal_Mid_L": 0.17]["Frontal_Sup_L": 0.15],["Left Precentral Gyrus": 0.71]["Left Middle Frontal Gyrus": 0.18]["Left Superior Frontal Gyrus": 0.11],["Left Middle Frontal Gyrus": 0.70]["Left Precentral Gyrus": 0.30],["Left Precentral Gyrus": 0.50]["Left Middle Frontal Gyrus": 0.35]["Left Superior Frontal Gyrus": 0.15]
73, 99, (-32.9;-53.5;43.1),["None": 0.77]["IPS": 0.19],["Parietal_Inf_L": 0.79]["Angular_L": 0.18],["Left Inferior Parietal Lobule ": 0.65]["Left Angular Gyrus": 0.33],["Left Inferior Parietal Lobule": 0.49]["Left Superior Parietal Lobule": 0.17]["Left Supramarginal Gyrus": 0.13],["Left Superior Parietal Lobule": 0.53]["Left Lateral Occipital Cortex; superior division": 0.16]["Left Supramarginal Gyrus; posterior division": 0.12]["None": 0.11]
74, 110, (-44.6;39.4;4.7),["None": 0.90],["Frontal_Inf_Tri_L": 0.84]["Frontal_Mid_L": 0.15],["Left Inferior Frontal Gyrus (p. Triangularis)": 0.75]["Left Middle Orbital Gyrus": 0.18],["Left Inferior Frontal Gyrus": 0.85]["Left Middle Frontal Gyrus": 0.15],["Left Frontal Pole": 0.70]["Left Inferior Frontal Gyrus; pars triangularis": 0.30]
